Wavelength(nm);LP01_Power(dBm);Wavelength(nm)2;LP11a_Power(dBm)
1568,999742;-1,648746701;1568,999742;-2,4287253
1566,540139;-0,01678185;1566,540139;-0,94458024
1564,088236;1,759655962;1564,088236;0,672144272
1561,643996;3,630972931;1561,643996;2,376600033
1559,207383;4,95090166;1559,207383;3,581812006
1556,778363;5,665063239;1556,778363;4,237597994
1554,356898;5,976270496;1554,356898;4,527559168
1551,942955;6,083218748;1551,942955;4,631920616
1549,536498;5,646442285;1549,536498;4,24142837
1547,137492;4,610140526;1547,137492;3,3045563
1544,745904;3,526049265;1544,745904;2,323200437
1542,361697;2,63159968;1542,361697;1,513727601
1539,984839;2,398434454;1539,984839;1,30649553
1537,615296;3,600723029;1537,615296;2,408670796
1535,253033;5,769041144;1535,253033;4,393592439
1532,898017;8,800897491;1532,898017;7,168869789
1530,550216;10,47425254;1530,550216;8,705484662
1528,209595;8,439527443;1528,209595;6,854158141
1525,876122;5,069807401;1525,876122;3,780340479
1523,549765;-0,145950608;1523,549765;-0,985107254
980,0001487;16,67143209;;
