Axial position(m)  Excited Ions(%)
   0.0000000e+00   8.3622623e+01
   5.0000000e-02   8.2475023e+01
   1.0000000e-01   8.1361538e+01
   1.5000000e-01   8.0169216e+01
   2.0000000e-01   7.9015119e+01
   2.5000000e-01   7.7801778e+01
   3.0000000e-01   7.6629574e+01
   3.5000000e-01   7.5418687e+01
   4.0000000e-01   7.4250418e+01
   4.5000000e-01   7.3063287e+01
   5.0000000e-01   7.1918781e+01
   5.5000000e-01   7.0773153e+01
   6.0000000e-01   6.9668832e+01
   6.5000000e-01   6.8578209e+01
   7.0000000e-01   6.7526516e+01
   7.5000000e-01   6.6500097e+01
   8.0000000e-01   6.5509493e+01
   8.5000000e-01   6.4552565e+01
   9.0000000e-01   6.3627919e+01
   9.5000000e-01   6.2742516e+01
   1.0000000e+00   6.1885715e+01
   1.0500000e+00   6.1071353e+01
   1.1000000e+00   6.0281976e+01
   1.1500000e+00   5.9536367e+01
   1.2000000e+00   5.8812327e+01
   1.2500000e+00   5.8131984e+01
   1.3000000e+00   5.7470084e+01
   1.3500000e+00   5.6850809e+01
   1.4000000e+00   5.6247182e+01
   1.4500000e+00   5.5684434e+01
   1.5000000e+00   5.5134880e+01
   1.5500000e+00   5.4624036e+01
   1.6000000e+00   5.4124261e+01
   1.6500000e+00   5.3660796e+01
   1.7000000e+00   5.3206579e+01
   1.7500000e+00   5.2786177e+01
   1.8000000e+00   5.2373475e+01
   1.8500000e+00   5.1992093e+01
   1.9000000e+00   5.1617105e+01
   1.9500000e+00   5.1271007e+01
   2.0000000e+00   5.0930205e+01
   2.0500000e+00   5.0615969e+01
   2.1000000e+00   5.0306112e+01
   2.1500000e+00   5.0020626e+01
   2.2000000e+00   4.9738754e+01
   2.2500000e+00   4.9479201e+01
   2.3000000e+00   4.9222625e+01
   2.3500000e+00   4.8986463e+01
   2.4000000e+00   4.8752751e+01
   2.4500000e+00   4.8537693e+01
   2.5000000e+00   4.8324648e+01
   2.5500000e+00   4.8128638e+01
   2.6000000e+00   4.7934278e+01
   2.6500000e+00   4.7755469e+01
   2.7000000e+00   4.7578011e+01
   2.7500000e+00   4.7414745e+01
   2.8000000e+00   4.7252584e+01
   2.8500000e+00   4.7103372e+01
   2.9000000e+00   4.6955061e+01
   2.9500000e+00   4.6818566e+01
   3.0000000e+00   4.6682805e+01
   3.0500000e+00   4.6557826e+01
   3.1000000e+00   4.6433442e+01
   3.1500000e+00   4.6318898e+01
   3.2000000e+00   4.6204836e+01
   3.2500000e+00   4.6099755e+01
   3.3000000e+00   4.5995063e+01
   3.3500000e+00   4.5898570e+01
   3.4000000e+00   4.5802388e+01
   3.4500000e+00   4.5713694e+01
   3.5000000e+00   4.5625248e+01
   3.5500000e+00   4.5543641e+01
   3.6000000e+00   4.5462230e+01
   3.6500000e+00   4.5387067e+01
   3.7000000e+00   4.5312059e+01
   3.7500000e+00   4.5242759e+01
   3.8000000e+00   4.5173580e+01
   3.8500000e+00   4.5109619e+01
   3.9000000e+00   4.5045750e+01
   3.9500000e+00   4.4986652e+01
   4.0000000e+00   4.4927624e+01
   4.0500000e+00   4.4872959e+01
   4.1000000e+00   4.4818345e+01
   4.1500000e+00   4.4767723e+01
   4.2000000e+00   4.4717136e+01
   4.2500000e+00   4.4670203e+01
   4.3000000e+00   4.4623294e+01
   4.3500000e+00   4.4579729e+01
   4.4000000e+00   4.4536178e+01
   4.4500000e+00   4.4495689e+01
   4.5000000e+00   4.4455207e+01
   4.5500000e+00   4.4417530e+01
   4.6000000e+00   4.4379854e+01
   4.6500000e+00   4.4344748e+01
   4.7000000e+00   4.4309638e+01
   4.7500000e+00   4.4276884e+01
   4.8000000e+00   4.4244122e+01
   4.8500000e+00   4.4213521e+01
   4.9000000e+00   4.4182909e+01
   4.9500000e+00   4.4154279e+01
   5.0000000e+00   4.4125637e+01
