Frecuencia(THz)	  LP01_Gain(dB)    Frecuencia(THz) LP11a_Gain(dB)
   1.9119422e+02   6.0362800e+00   1.9119422e+02   5.4736443e+00
   1.9124422e+02   6.1679163e+00   1.9124422e+02   5.5934846e+00
   1.9129422e+02   6.2994920e+00   1.9129422e+02   5.7132897e+00
   1.9134422e+02   6.4286376e+00   1.9134422e+02   5.8309101e+00
   1.9139422e+02   6.5558678e+00   1.9139422e+02   5.9468124e+00
   1.9144422e+02   6.6932455e+00   1.9144422e+02   6.0719391e+00
   1.9149422e+02   6.9073059e+00   1.9149422e+02   6.2666566e+00
   1.9154422e+02   7.1212681e+00   1.9154422e+02   6.4613171e+00
   1.9159422e+02   7.3507833e+00   1.9159422e+02   6.6701224e+00
   1.9164422e+02   7.5878703e+00   1.9164422e+02   6.8858333e+00
   1.9169422e+02   7.8370233e+00   1.9169422e+02   7.1125301e+00
   1.9174422e+02   8.1289093e+00   1.9174422e+02   7.3780499e+00
   1.9179422e+02   8.4206615e+00   1.9179422e+02   7.6434918e+00
   1.9184422e+02   8.6879309e+00   1.9184422e+02   7.8867522e+00
   1.9189422e+02   8.9477436e+00   1.9189422e+02   8.1232826e+00
   1.9194422e+02   9.2160169e+00   1.9194422e+02   8.3675333e+00
   1.9199422e+02   9.5030325e+00   1.9199422e+02   8.6288418e+00
   1.9204422e+02   9.7899167e+00   1.9204422e+02   8.8900735e+00
   1.9209422e+02   9.9723365e+00   1.9209422e+02   9.0564772e+00
   1.9214422e+02   1.0136772e+01   1.9214422e+02   9.2065734e+00
   1.9219422e+02   1.0253350e+01   1.9219422e+02   9.3132239e+00
   1.9224422e+02   1.0295569e+01   1.9224422e+02   9.3523452e+00
   1.9229422e+02   1.0337770e+01   1.9229422e+02   9.3914544e+00
   1.9234422e+02   1.0379950e+01   1.9234422e+02   9.4305512e+00
   1.9239422e+02   1.0422112e+01   1.9239422e+02   9.4696359e+00
   1.9244422e+02   1.0437350e+01   1.9244422e+02   9.4842612e+00
   1.9249422e+02   1.0420678e+01   1.9249422e+02   9.4698898e+00
   1.9254422e+02   1.0404014e+01   1.9254422e+02   9.4555219e+00
   1.9259422e+02   1.0329459e+01   1.9259422e+02   9.3885328e+00
   1.9264422e+02   1.0254101e+01   1.9264422e+02   9.3208019e+00
   1.9269422e+02   1.0148804e+01   1.9269422e+02   9.2258422e+00
   1.9274422e+02   1.0014864e+01   1.9274422e+02   9.1048259e+00
   1.9279422e+02   9.8820145e+00   1.9279422e+02   8.9847811e+00
   1.9284422e+02   9.7795751e+00   1.9284422e+02   8.8923666e+00
   1.9289422e+02   9.6771822e+00   1.9289422e+02   8.7999785e+00
   1.9294422e+02   9.5275582e+00   1.9294422e+02   8.6646212e+00
   1.9299422e+02   9.3395759e+00   1.9299422e+02   8.4943540e+00
   1.9304422e+02   9.1516791e+00   1.9304422e+02   8.3241362e+00
   1.9309422e+02   8.9638679e+00   1.9309422e+02   8.1539677e+00
   1.9314422e+02   8.7761421e+00   1.9314422e+02   7.9838485e+00
   1.9319422e+02   8.5208309e+00   1.9319422e+02   7.7522121e+00
   1.9324422e+02   8.2165441e+00   1.9324422e+02   7.4759762e+00
   1.9329422e+02   7.9123958e+00   1.9329422e+02   7.1998209e+00
   1.9334422e+02   7.6083859e+00   1.9334422e+02   6.9237465e+00
   1.9339422e+02   7.3045143e+00   1.9339422e+02   6.6477528e+00
   1.9344422e+02   6.9154311e+00   1.9344422e+02   6.2941578e+00
   1.9349422e+02   6.4683451e+00   1.9349422e+02   5.8877092e+00
   1.9354422e+02   6.0131710e+00   1.9354422e+02   5.4738323e+00
   1.9359422e+02   5.4813090e+00   1.9359422e+02   4.9900734e+00
   1.9364422e+02   4.9496889e+00   1.9364422e+02   4.5064570e+00
