left(nm)		right(nm)	       LP01_Power(dBm)		left(nm)		right(nm)	       LP11a_Power(dBm)		left(nm)		right(nm)	       LP11b_Power(dBm)		left(nm)		right(nm)	       LP21a_Power(dBm)		left(nm)		right(nm)	       LP21b_Power(dBm)		left(nm)		right(nm)	       LP02_Power(dBm)
1508.76929038752	1506.4947638191		-57.2465934674069	1508.76929038752	1506.4947638191		-57.3012488415606	1508.76929038752	1506.4947638191		-57.3012488415606	1508.76929038752	1506.4947638191		-57.5054823361661	1508.76929038752	1506.4947638191		-57.5054823361661	1508.76929038752	1506.4947638191		-57.9827546107556
1511.05069556452	1508.76929038752	-56.2004663339751	1511.05069556452	1508.76929038752	-56.2728314307937	1511.05069556452	1508.76929038752	-56.2728314307937	1511.05069556452	1508.76929038752	-56.5194742955464	1511.05069556452	1508.76929038752	-56.5194742955464	1511.05069556452	1508.76929038752	-57.0596880628374
1513.33901060071	1511.05069556452	-54.781530458769	1513.33901060071	1511.05069556452	-54.8845503336803	1513.33901060071	1511.05069556452	-54.8845503336803	1513.33901060071	1511.05069556452	-55.2012357667804	1513.33901060071	1511.05069556452	-55.2012357667804	1513.33901060071	1511.05069556452	-55.8381969523865
1585.36466419884	1582.85352692714	-53.3392773575862	1585.36466419884	1582.85352692714	-53.9084137506357	1585.36466419884	1582.85352692714	-53.9084137506357	1585.36466419884	1582.85352692714	-55.3403874657095	1585.36466419884	1582.85352692714	-55.3403874657095	1585.36466419884	1582.85352692714	-57.616969753898
1515.6342669363		1513.33901060071	-53.3045091978651	1515.6342669363		1513.33901060071	-53.4462990248636	1515.6342669363		1513.33901060071	-53.4462990248636	1515.6342669363		1513.33901060071	-53.8480690013833	1515.6342669363		1513.33901060071	-53.8480690013833	1515.6342669363		1513.33901060071	-54.5966303575683
1582.85352692714	1580.35033210332	-52.7352861969034	1582.85352692714	1580.35033210332	-53.3157321071882	1582.85352692714	1580.35033210332	-53.3157321071882	1582.85352692714	1580.35033210332	-54.7647258536267	1582.85352692714	1580.35033210332	-54.7647258536267	1582.85352692714	1580.35033210332	-57.047668468239
1580.35033210332	1577.85504210526	-51.997915883322	1580.35033210332	1577.85504210526	-52.5969768133692	1580.35033210332	1577.85504210526	-52.5969768133692	1580.35033210332	1577.85504210526	-54.0781974992276	1580.35033210332	1577.85504210526	-54.0781974992276	1580.35033210332	1577.85504210526	-56.384426555692
1517.93649620253	1515.6342669363		-51.9814420777654	1517.93649620253	1515.6342669363		-52.1585458983017	1517.93649620253	1515.6342669363		-52.1585458983017	1517.93649620253	1515.6342669363		-52.6351598450988	1517.93649620253	1515.6342669363		-52.6351598450988	1517.93649620253	1515.6342669363		-53.4783962147915
1577.85504210526	1575.36761954808	-51.0593686822153	1577.85504210526	1575.36761954808	-51.6894160084885	1577.85504210526	1575.36761954808	-51.6894160084885	1577.85504210526	1575.36761954808	-53.2283968883279	1577.85504210526	1575.36761954808	-53.2283968883279	1577.85504210526	1575.36761954808	-55.5861512881787
1520.24573022312	1517.93649620253	-50.6055990688023	1520.24573022312	1517.93649620253	-50.8326794593796	1520.24573022312	1517.93649620253	-50.8326794593796	1520.24573022312	1517.93649620253	-51.4111099955061	1520.24573022312	1517.93649620253	-51.4111099955061	1520.24573022312	1517.93649620253	-52.3753607591406
1575.36761954808	1572.88802728227	-49.7269453219799	1575.36761954808	1572.88802728227	-50.4155148946638	1575.36761954808	1572.88802728227	-50.4155148946638	1575.36761954808	1572.88802728227	-52.0688331012857	1575.36761954808	1572.88802728227	-52.0688331012857	1575.36761954808	1572.88802728227	-54.5403889536746
1522.56200101574	1520.24573022312	-48.9729802889137	1522.56200101574	1520.24573022312	-49.2898899209654	1522.56200101574	1520.24573022312	-49.2898899209654	1522.56200101574	1520.24573022312	-50.0466580970889	1522.56200101574	1520.24573022312	-50.0466580970889	1522.56200101574	1520.24573022312	-51.2122263118241
1572.88802728227	1570.41622839183	-48.1286485324484	1572.88802728227	1570.41622839183	-48.901387978306	1572.88802728227	1570.41622839183	-48.901387978306	1572.88802728227	1570.41622839183	-50.7206291140956	1572.88802728227	1570.41622839183	-50.7206291140956	1572.88802728227	1570.41622839183	-53.3612430937116
1570.41622839183	1567.95218619247	-46.3857679478312	1570.41622839183	1567.95218619247	-47.2580989022159	1570.41622839183	1567.95218619247	-47.2580989022159	1570.41622839183	1567.95218619247	-49.2726063993645	1570.41622839183	1567.95218619247	-49.2726063993645	1570.41622839183	1567.95218619247	-52.1110671507923
1567.95218619247	1565.49586422976	-44.5889341463812	1567.95218619247	1565.49586422976	-45.5694664558966	1567.95218619247	1565.49586422976	-45.5694664558966	1567.95218619247	1565.49586422976	-47.7940529812998	1567.95218619247	1565.49586422976	-47.7940529812998	1567.95218619247	1565.49586422976	-50.8420708026041
1524.88534079349	1522.56200101574	-42.9761686898168	1524.88534079349	1522.56200101574	-43.7918527600283	1524.88534079349	1522.56200101574	-43.7918527600283	1524.88534079349	1522.56200101574	-45.5186392235906	1524.88534079349	1522.56200101574	-45.5186392235906	1524.88534079349	1522.56200101574	-47.7167712149075
1565.49586422976	1563.04722627737	-42.7622391476886	1565.49586422976	1563.04722627737	-43.8698171844931	1565.49586422976	1563.04722627737	-43.8698171844931	1565.49586422976	1563.04722627737	-46.3421633948885	1565.49586422976	1563.04722627737	-46.3421633948885	1565.49586422976	1563.04722627737	-49.6396223037127
1541.34939845758	1538.97565708419	-41.3148531408066	1541.34939845758	1538.97565708419	-42.3537662575296	1541.34939845758	1538.97565708419	-42.3537662575296	1541.34939845758	1538.97565708419	-44.5746748546209	1541.34939845758	1538.97565708419	-44.5746748546209	1541.34939845758	1538.97565708419	-47.4037145244944
1543.73047373841	1541.34939845758	-41.1147114789467	1543.73047373841	1541.34939845758	-42.191692674528	1543.73047373841	1541.34939845758	-42.191692674528	1543.73047373841	1541.34939845758	-44.5006310861639	1543.73047373841	1541.34939845758	-44.5006310861639	1543.73047373841	1541.34939845758	-47.4463660565539
1563.04722627737	1560.60623633524	-40.8960541516896	1563.04722627737	1560.60623633524	-42.1484402742009	1563.04722627737	1560.60623633524	-42.1484402742009	1563.04722627737	1560.60623633524	-44.9052608063488	1563.04722627737	1560.60623633524	-44.9052608063488	1563.04722627737	1560.60623633524	-48.4931479787848
1546.11891696751	1543.73047373841	-40.3266638846666	1546.11891696751	1543.73047373841	-41.4975097473738	1546.11891696751	1543.73047373841	-41.4975097473738	1546.11891696751	1543.73047373841	-44.0070296617773	1546.11891696751	1543.73047373841	-44.0070296617773	1546.11891696751	1543.73047373841	-47.1907663919775
1538.97565708419	1536.60921578678	-40.2829204718074	1538.97565708419	1536.60921578678	-41.4004786720033	1538.97565708419	1536.60921578678	-41.4004786720033	1538.97565708419	1536.60921578678	-43.7656622246213	1538.97565708419	1536.60921578678	-43.7656622246213	1538.97565708419	1536.60921578678	-46.7252079587498
1560.60623633524	1558.17285862786	-39.5016655725403	1560.60623633524	1558.17285862786	-40.8628194771273	1560.60623633524	1558.17285862786	-40.8628194771273	1560.60623633524	1558.17285862786	-43.8306957358195	1560.60623633524	1558.17285862786	-43.8306957358195	1560.60623633524	1558.17285862786	-47.6303481877306
1548.51476239669	1546.11891696751	-39.3821147828071	1548.51476239669	1546.11891696751	-40.661352812477	1548.51476239669	1546.11891696751	-40.661352812477	1548.51476239669	1546.11891696751	-43.4021167979447	1548.51476239669	1546.11891696751	-43.4021167979447	1548.51476239669	1546.11891696751	-46.8576805290873
1558.17285862786	1555.74705760249	-38.7339973236172	1558.17285862786	1555.74705760249	-40.1484147868607	1558.17285862786	1555.74705760249	-40.1484147868607	1558.17285862786	1555.74705760249	-43.2135569917251	1558.17285862786	1555.74705760249	-43.2135569917251	1558.17285862786	1555.74705760249	-47.1013517907147
1550.91804449043	1548.51476239669	-38.4914922686514	1550.91804449043	1548.51476239669	-39.8738192005543	1550.91804449043	1548.51476239669	-39.8738192005543	1550.91804449043	1548.51476239669	-42.8366121022668	1550.91804449043	1548.51476239669	-42.8366121022668	1550.91804449043	1548.51476239669	-46.554814604564
1527.21578196638	1524.88534079349	-38.4497258269315	1527.21578196638	1524.88534079349	-39.6915037339843	1527.21578196638	1524.88534079349	-39.6915037339843	1527.21578196638	1524.88534079349	-42.2613107964162	1527.21578196638	1524.88534079349	-42.2613107964162	1527.21578196638	1524.88534079349	-45.3607443173199
1555.74705760249	1553.32879792746	-38.3770152585902	1555.74705760249	1553.32879792746	-39.8067684833143	1555.74705760249	1553.32879792746	-39.8067684833143	1555.74705760249	1553.32879792746	-42.8911621585099	1555.74705760249	1553.32879792746	-42.8911621585099	1555.74705760249	1553.32879792746	-46.7814208814902
1536.60921578678	1534.25004094166	-38.3075009530167	1536.60921578678	1534.25004094166	-39.5975872550363	1536.60921578678	1534.25004094166	-39.5975872550363	1536.60921578678	1534.25004094166	-42.296155613071	1536.60921578678	1534.25004094166	-42.296155613071	1536.60921578678	1534.25004094166	-45.5908708278616
1553.32879792746	1550.91804449043	-38.1901277257527	1553.32879792746	1550.91804449043	-39.6191386753114	1553.32879792746	1550.91804449043	-39.6191386753114	1553.32879792746	1550.91804449043	-42.6896435655906	1553.32879792746	1550.91804449043	-42.6896435655906	1553.32879792746	1550.91804449043	-46.5454085829643
1534.25004094166	1531.89809913132	-35.4562037832656	1534.25004094166	1531.89809913132	-37.0052469538649	1534.25004094166	1531.89809913132	-37.0052469538649	1534.25004094166	1531.89809913132	-40.2160709770768	1534.25004094166	1531.89809913132	-40.2160709770768	1534.25004094166	1531.89809913132	-44.0474807266896
