Frecuencia(THz);LP01_Gain(dB);Frecuencia(THz);LP01_NoiseFigure(dB);Frecuencia(THz);LP11a_Gain(dB);Frecuencia(THz);LP11a_NoiseFigure(dB)
191.07234375;8.35125329932428;191.07234375;3.55853129233053;191.07234375;7.571274699626;191.07234375;3.52797428390005
191.37234375;9.98321815000909;191.37234375;3.62103983743123;191.37234375;9.05541976043764;191.37234375;3.61601456848215
191.67234375;11.7596559618965;191.67234375;3.59917213705686;191.67234375;10.6721442718282;191.67234375;3.61568350410149
191.97234375;13.6309729313574;191.97234375;3.54298491474112;191.97234375;12.376600032515;191.97234375;3.57270986629224
192.27234375;14.9509016595382;192.27234375;3.5878347532653;192.27234375;13.5818120057375;192.27234375;3.61809340943605
192.57234375;15.6650632386821;192.57234375;3.62478791871254;192.57234375;14.2375979938202;192.57234375;3.65748053760072
192.87234375;15.9762704961476;192.87234375;3.65983804292212;192.87234375;14.527559168455;192.87234375;3.69716907396544
193.17234375;16.0832187475214;193.17234375;3.73110824158257;193.17234375;14.6319206164808;193.17234375;3.77102042923165
193.47234375;15.6464422847566;193.47234375;3.86311187563738;193.47234375;14.2414283699575;193.47234375;3.90398304584363
193.77234375;14.6101405260215;193.77234375;4.01320737154254;193.77234375;13.3045562996721;193.77234375;4.05993000057954
194.07234375;13.5260492650874;194.07234375;4.16060801168877;194.07234375;12.3232004368785;194.07234375;4.21544322238355
194.37234375;12.6315996804033;194.37234375;4.27513277464749;194.37234375;11.5137276006963;194.37234375;4.34086947628144
194.67234375;12.3984344541539;194.67234375;4.30577493504668;194.67234375;11.3064955302507;194.67234375;4.38379777917785
194.97234375;13.6007230292745;194.97234375;4.10918225355718;194.97234375;12.4086707962918;194.97234375;4.20521786807804
195.27234375;15.769041143535;195.27234375;3.88270232118819;195.27234375;14.3935924385162;195.27234375;3.98431017631962
195.57234375;18.8008974910094;195.57234375;3.67280417376789;195.57234375;17.1688697886791;195.57234375;3.76630636791323
195.87234375;20.4742525415395;195.87234375;3.75824680421335;195.87234375;18.705484661705;195.87234375;3.82893080800649
196.17234375;18.4395274428319;196.17234375;4.1200002767316;196.17234375;16.8541581414826;196.17234375;4.17546914060715
196.47234375;15.0698074014297;196.47234375;4.41496921844735;196.47234375;13.7803404788562;196.47234375;4.47881392516694
196.77234375;9.85404939173938;196.77234375;5.18671063984272;196.77234375;9.0148927460606;196.77234375;5.23820311525161
