Wavelength(nm)	  LP01_Power(dBm)  Wavelength(nm) LP11a_Power(dBm)
   1.5679996e+03   6.0362800e+00   1.5679996e+03   5.4736443e+00
   1.5675897e+03   6.1679163e+00   1.5675897e+03   5.5934846e+00
   1.5671799e+03   6.2994920e+00   1.5671799e+03   5.7132897e+00
   1.5667704e+03   6.4286376e+00   1.5667704e+03   5.8309101e+00
   1.5663611e+03   6.5558678e+00   1.5663611e+03   5.9468124e+00
   1.5659520e+03   6.6932455e+00   1.5659520e+03   6.0719391e+00
   1.5655431e+03   6.9073059e+00   1.5655431e+03   6.2666566e+00
   1.5651345e+03   7.1212681e+00   1.5651345e+03   6.4613171e+00
   1.5647260e+03   7.3507833e+00   1.5647260e+03   6.6701224e+00
   1.5643178e+03   7.5878703e+00   1.5643178e+03   6.8858333e+00
   1.5639098e+03   7.8370233e+00   1.5639098e+03   7.1125301e+00
   1.5635019e+03   8.1289093e+00   1.5635019e+03   7.3780499e+00
   1.5630943e+03   8.4206615e+00   1.5630943e+03   7.6434918e+00
   1.5626870e+03   8.6879309e+00   1.5626870e+03   7.8867522e+00
   1.5622798e+03   8.9477436e+00   1.5622798e+03   8.1232826e+00
   1.5618728e+03   9.2160169e+00   1.5618728e+03   8.3675333e+00
   1.5614661e+03   9.5030325e+00   1.5614661e+03   8.6288418e+00
   1.5610595e+03   9.7899167e+00   1.5610595e+03   8.8900735e+00
   1.5606532e+03   9.9723365e+00   1.5606532e+03   9.0564772e+00
   1.5602471e+03   1.0136772e+01   1.5602471e+03   9.2065734e+00
   1.5598412e+03   1.0253350e+01   1.5598412e+03   9.3132239e+00
   1.5594355e+03   1.0295569e+01   1.5594355e+03   9.3523452e+00
   1.5590300e+03   1.0337770e+01   1.5590300e+03   9.3914544e+00
   1.5586247e+03   1.0379950e+01   1.5586247e+03   9.4305512e+00
   1.5582197e+03   1.0422112e+01   1.5582197e+03   9.4696359e+00
   1.5578148e+03   1.0437350e+01   1.5578148e+03   9.4842612e+00
   1.5574102e+03   1.0420678e+01   1.5574102e+03   9.4698898e+00
   1.5570058e+03   1.0404014e+01   1.5570058e+03   9.4555219e+00
   1.5566015e+03   1.0329459e+01   1.5566015e+03   9.3885328e+00
   1.5561975e+03   1.0254101e+01   1.5561975e+03   9.3208019e+00
   1.5557937e+03   1.0148804e+01   1.5557937e+03   9.2258422e+00
   1.5553901e+03   1.0014864e+01   1.5553901e+03   9.1048259e+00
   1.5549868e+03   9.8820145e+00   1.5549868e+03   8.9847811e+00
   1.5545836e+03   9.7795751e+00   1.5545836e+03   8.8923666e+00
   1.5541806e+03   9.6771822e+00   1.5541806e+03   8.7999785e+00
   1.5537779e+03   9.5275582e+00   1.5537779e+03   8.6646212e+00
   1.5533753e+03   9.3395759e+00   1.5533753e+03   8.4943540e+00
   1.5529730e+03   9.1516791e+00   1.5529730e+03   8.3241362e+00
   1.5525709e+03   8.9638679e+00   1.5525709e+03   8.1539677e+00
   1.5521689e+03   8.7761421e+00   1.5521689e+03   7.9838485e+00
   1.5517672e+03   8.5208309e+00   1.5517672e+03   7.7522121e+00
   1.5513657e+03   8.2165441e+00   1.5513657e+03   7.4759762e+00
   1.5509644e+03   7.9123958e+00   1.5509644e+03   7.1998209e+00
   1.5505633e+03   7.6083859e+00   1.5505633e+03   6.9237465e+00
   1.5501625e+03   7.3045143e+00   1.5501625e+03   6.6477528e+00
   1.5497618e+03   6.9154311e+00   1.5497618e+03   6.2941578e+00
   1.5493613e+03   6.4683451e+00   1.5493613e+03   5.8877092e+00
   1.5489611e+03   6.0131710e+00   1.5489611e+03   5.4738323e+00
   1.5485610e+03   5.4813090e+00   1.5485610e+03   4.9900734e+00
   1.5481612e+03   4.9496889e+00   1.5481612e+03   4.5064570e+00
