   left(nm)	   right(nm)      LP01_power(dBm)  left(nm)	   right(nm)      LP11a_power(dBm) left(nm)	   right(nm)      LP02_power(dBm)
   1.5685675e+03   1.5681572e+03  -6.6072110e+01   1.5685675e+03   1.5681572e+03  -6.6729472e+01   1.5685675e+03   1.5681572e+03  -7.0625093e+01
   1.5681572e+03   1.5677472e+03  -6.5876610e+01   1.5681572e+03   1.5677472e+03  -6.6540263e+01   1.5681572e+03   1.5677472e+03  -7.0456040e+01
   1.5677472e+03   1.5673374e+03  -6.5695935e+01   1.5677472e+03   1.5673374e+03  -6.6364143e+01   1.5677472e+03   1.5673374e+03  -7.0292194e+01
   1.5673374e+03   1.5669278e+03  -6.5519406e+01   1.5673374e+03   1.5669278e+03  -6.6192260e+01   1.5673374e+03   1.5669278e+03  -7.0132876e+01
   1.5669278e+03   1.5665184e+03  -6.5351590e+01   1.5669278e+03   1.5665184e+03  -6.6029145e+01   1.5669278e+03   1.5665184e+03  -6.9982580e+01
   1.5665184e+03   1.5661092e+03  -6.5189366e+01   1.5665184e+03   1.5661092e+03  -6.5871687e+01   1.5665184e+03   1.5661092e+03  -6.9838194e+01
   1.5661092e+03   1.5657003e+03  -6.5014422e+01   1.5661092e+03   1.5657003e+03  -6.5703126e+01   1.5661092e+03   1.5657003e+03  -6.9689566e+01
   1.5657003e+03   1.5652915e+03  -6.4790454e+01   1.5657003e+03   1.5652915e+03  -6.5490717e+01   1.5657003e+03   1.5652915e+03  -6.9519245e+01
   1.5652915e+03   1.5648830e+03  -6.4568924e+01   1.5652915e+03   1.5648830e+03  -6.5280918e+01   1.5652915e+03   1.5648830e+03  -6.9352073e+01
   1.5648830e+03   1.5644747e+03  -6.4338508e+01   1.5648830e+03   1.5644747e+03  -6.5064082e+01   1.5648830e+03   1.5644747e+03  -6.9185823e+01
   1.5644747e+03   1.5640666e+03  -6.4106716e+01   1.5644747e+03   1.5640666e+03  -6.4846512e+01   1.5644747e+03   1.5640666e+03  -6.9021458e+01
   1.5640666e+03   1.5636587e+03  -6.3862413e+01   1.5640666e+03   1.5636587e+03  -6.4618136e+01   1.5640666e+03   1.5636587e+03  -6.8853421e+01
   1.5636587e+03   1.5632510e+03  -6.3591604e+01   1.5636587e+03   1.5632510e+03  -6.4366474e+01   1.5636587e+03   1.5632510e+03  -6.8675728e+01
   1.5632510e+03   1.5628435e+03  -6.3321523e+01   1.5632510e+03   1.5628435e+03  -6.4115796e+01   1.5632510e+03   1.5628435e+03  -6.8499876e+01
   1.5628435e+03   1.5624363e+03  -6.3075897e+01   1.5628435e+03   1.5624363e+03  -6.3887678e+01   1.5628435e+03   1.5624363e+03  -6.8338470e+01
