# "Fiber Length" "Sig_Fwd (180.0000 THz)" "Sig_Fwd (180.2000 THz)" "Sig_Fwd (180.4000 THz)" "Sig_Fwd (180.6000 THz)" "Sig_Fwd (180.8000 THz)" "Sig_Fwd (181.0000 THz)" "Sig_Fwd (181.2000 THz)" "Sig_Fwd (181.4000 THz)" "Sig_Fwd (181.6000 THz)" "Sig_Fwd (181.8000 THz)" "Sig_Fwd (182.0000 THz)" "Sig_Fwd (182.2000 THz)" "Sig_Fwd (182.4000 THz)" "Sig_Fwd (182.6000 THz)" "Sig_Fwd (182.8000 THz)" "Sig_Fwd (183.0000 THz)" "Sig_Fwd (183.2000 THz)" "Sig_Fwd (183.4000 THz)" "Sig_Fwd (183.6000 THz)" "Sig_Fwd (183.8000 THz)" "Sig_Fwd (184.0000 THz)" "Sig_Fwd (184.2000 THz)" "Sig_Fwd (184.4000 THz)" "Sig_Fwd (184.6000 THz)" "Sig_Fwd (184.8000 THz)" "Sig_Fwd (185.0000 THz)" "Sig_Fwd (185.2000 THz)" "Sig_Fwd (185.4000 THz)" "Sig_Fwd (185.6000 THz)" "Sig_Fwd (185.8000 THz)" "Sig_Fwd (186.0000 THz)" "Sig_Fwd (186.2000 THz)" "Sig_Fwd (186.4000 THz)" "Sig_Fwd (186.6000 THz)" "Sig_Fwd (186.8000 THz)" "Sig_Fwd (187.0000 THz)" "Sig_Fwd (187.2000 THz)" "Sig_Fwd (187.4000 THz)" "Sig_Fwd (187.6000 THz)" "Sig_Fwd (187.8000 THz)" "Sig_Fwd (188.0000 THz)" "Sig_Fwd (188.2000 THz)" "Sig_Fwd (188.4000 THz)" "Sig_Fwd (188.6000 THz)" "Sig_Fwd (188.8000 THz)" "Sig_Fwd (189.0000 THz)" "Sig_Fwd (189.2000 THz)" "Sig_Fwd (189.4000 THz)" "Sig_Fwd (189.6000 THz)" "Sig_Fwd (189.8000 THz)" "Sig_Fwd (190.0000 THz)" "Sig_Fwd (190.2000 THz)" "Sig_Fwd (190.4000 THz)" "Sig_Fwd (190.6000 THz)" "Sig_Fwd (190.8000 THz)" "Sig_Fwd (191.0000 THz)" "Sig_Fwd (191.2000 THz)" "Sig_Fwd (191.4000 THz)" "Sig_Fwd (191.6000 THz)" "Sig_Fwd (191.8000 THz)" "Sig_Fwd (192.0000 THz)" "Sig_Fwd (192.2000 THz)" "Sig_Fwd (192.4000 THz)" "Sig_Fwd (192.6000 THz)" "Sig_Fwd (192.8000 THz)" "Sig_Fwd (193.0000 THz)" "Sig_Fwd (193.2000 THz)" "Sig_Fwd (193.4000 THz)" "Sig_Fwd (193.6000 THz)" "Sig_Fwd (193.8000 THz)" "Sig_Fwd (194.0000 THz)" "Sig_Fwd (194.2000 THz)" "Sig_Fwd (194.4000 THz)" "Sig_Fwd (194.6000 THz)" "Sig_Fwd (194.8000 THz)" "Sig_Fwd (195.0000 THz)" "Sig_Fwd (195.2000 THz)" "Sig_Fwd (195.4000 THz)" "Sig_Fwd (195.6000 THz)" "Sig_Fwd (195.8000 THz)" "Sig_Fwd (196.0000 THz)" "Sig_Fwd (196.2000 THz)" "Sig_Fwd (196.4000 THz)" "Sig_Fwd (196.6000 THz)" "Sig_Fwd (196.8000 THz)" "Sig_Fwd (197.0000 THz)" "Sig_Fwd (197.2000 THz)" "Sig_Fwd (197.4000 THz)" "Sig_Fwd (197.6000 THz)" "Sig_Fwd (197.8000 THz)" "Sig_Fwd (198.0000 THz)" "Sig_Fwd (198.2000 THz)" "Sig_Fwd (198.4000 THz)" "Sig_Fwd (198.6000 THz)" "Sig_Fwd (198.8000 THz)" "Sig_Fwd (199.0000 THz)" "Sig_Fwd (199.2000 THz)" "Sig_Fwd (199.4000 THz)" "Sig_Fwd (199.6000 THz)" "Sig_Fwd (199.8000 THz)" "Sig_Bwd (200.0000 THz)" ASE_Fwd ASE_Bwd 
# (km) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) (dBm) 
 0.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 4.7683540 -300.0000000 -34.5021099 
 0.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 -30.0000000 4.7683540 -300.0000000 -34.5021099 
 1.0000000 -30.1994552 -30.1994217 -30.1993608 -30.1992666 -30.1991661 -30.1990460 -30.1988471 -30.1985612 -30.1983519 -30.1981970 -30.1982909 -30.1985832 -30.1986944 -30.1987481 -30.1987797 -30.1987552 -30.1987087 -30.1986480 -30.1985725 -30.1984584 -30.1983459 -30.1982078 -30.1980359 -30.1978111 -30.1973276 -30.1964213 -30.1955172 -30.1948352 -30.1950442 -30.1950614 -30.1949782 -30.1948848 -30.1948144 -30.1947391 -30.1946745 -30.1946819 -30.1947254 -30.1947779 -30.1948558 -30.1949340 -30.1950293 -30.1951260 -30.1952048 -30.1953295 -30.1954204 -30.1955366 -30.1956386 -30.1957277 -30.1958338 -30.1959523 -30.1960912 -30.1962233 -30.1963405 -30.1964501 -30.1965520 -30.1966954 -30.1968140 -30.1969296 -30.1970448 -30.1971853 -30.1972890 -30.1973835 -30.1974876 -30.1975933 -30.1977018 -30.1978109 -30.1979164 -30.1979955 -30.1980714 -30.1981546 -30.1982094 -30.1982756 -30.1983355 -30.1983959 -30.1984687 -30.1985222 -30.1985530 -30.1985842 -30.1986157 -30.1986460 -30.1986770 -30.1987009 -30.1987291 -30.1987670 -30.1988136 -30.1988612 -30.1989231 -30.1989916 -30.1990549 -30.1991220 -30.1991866 -30.1992777 -30.1993720 -30.1994863 -30.1996225 -30.1997392 -30.1998681 -30.1999621 -30.2000160 -30.2000565 4.9684451 -55.8869800 -34.3364707 
 2.0000000 -30.3988910 -30.3988225 -30.3986978 -30.3985050 -30.3982991 -30.3980533 -30.3976461 -30.3970607 -30.3966321 -30.3963150 -30.3965071 -30.3971055 -30.3973330 -30.3974429 -30.3975076 -30.3974573 -30.3973621 -30.3972378 -30.3970831 -30.3968495 -30.3966191 -30.3963363 -30.3959843 -30.3955240 -30.3945342 -30.3926786 -30.3908275 -30.3894313 -30.3898590 -30.3898940 -30.3897235 -30.3895321 -30.3893877 -30.3892334 -30.3891009 -30.3891159 -30.3892047 -30.3893119 -30.3894712 -30.3896311 -30.3898259 -30.3900238 -30.3901847 -30.3904399 -30.3906257 -30.3908633 -30.3910720 -30.3912540 -30.3914710 -30.3917135 -30.3919976 -30.3922678 -30.3925075 -30.3927315 -30.3929399 -30.3932332 -30.3934759 -30.3937122 -30.3939480 -30.3942352 -30.3944474 -30.3946405 -30.3948535 -30.3950696 -30.3952915 -30.3955145 -30.3957304 -30.3958920 -30.3960472 -30.3962172 -30.3963294 -30.3964645 -30.3965870 -30.3967104 -30.3968594 -30.3969688 -30.3970315 -30.3970953 -30.3971597 -30.3972216 -30.3972850 -30.3973338 -30.3973915 -30.3974691 -30.3975642 -30.3976616 -30.3977884 -30.3979284 -30.3980580 -30.3981952 -30.3983274 -30.3985140 -30.3987068 -30.3989407 -30.3992195 -30.3994584 -30.3997222 -30.3999146 -30.4000249 -30.4001078 5.1685326 -52.8748861 -34.1711650 
 3.0000000 -30.5983062 -30.5982010 -30.5980096 -30.5977134 -30.5973973 -30.5970196 -30.5963944 -30.5954953 -30.5948370 -30.5943501 -30.5946449 -30.5955637 -30.5959130 -30.5960817 -30.5961809 -30.5961037 -30.5959573 -30.5957663 -30.5955287 -30.5951699 -30.5948160 -30.5943816 -30.5938408 -30.5931339 -30.5916138 -30.5887640 -30.5859212 -30.5837767 -30.5844333 -30.5844868 -30.5842246 -30.5839305 -30.5837084 -30.5834712 -30.5832674 -30.5832901 -30.5834261 -30.5835905 -30.5838348 -30.5840800 -30.5843788 -30.5846824 -30.5849291 -30.5853206 -30.5856057 -30.5859703 -30.5862903 -30.5865696 -30.5869025 -30.5872745 -30.5877104 -30.5881250 -30.5884928 -30.5888365 -30.5891561 -30.5896063 -30.5899785 -30.5903411 -30.5907028 -30.5911436 -30.5914690 -30.5917652 -30.5920920 -30.5924235 -30.5927640 -30.5931061 -30.5934372 -30.5936851 -30.5939232 -30.5941839 -30.5943558 -30.5945631 -30.5947508 -30.5949401 -30.5951685 -30.5953363 -30.5954324 -30.5955302 -30.5956290 -30.5957239 -30.5958211 -30.5958959 -30.5959844 -30.5961034 -30.5962494 -30.5963988 -30.5965934 -30.5968083 -30.5970072 -30.5972178 -30.5974207 -30.5977070 -30.5980030 -30.5983621 -30.5987902 -30.5991569 -30.5995620 -30.5998575 -30.6000268 -30.6001540 5.3686166 -51.1089680 -34.0062075 
 4.0000000 -30.7976996 -30.7975559 -30.7972946 -30.7968901 -30.7964585 -30.7959429 -30.7950892 -30.7938617 -30.7929628 -30.7922979 -30.7927003 -30.7939545 -30.7944314 -30.7946616 -30.7947969 -30.7946913 -30.7944914 -30.7942305 -30.7939060 -30.7934160 -30.7929327 -30.7923394 -30.7916009 -30.7906357 -30.7885601 -30.7846692 -30.7807877 -30.7778596 -30.7787557 -30.7788282 -30.7784700 -30.7780680 -30.7777645 -30.7774402 -30.7771616 -30.7771922 -30.7773774 -30.7776015 -30.7779346 -30.7782689 -30.7786764 -30.7790904 -30.7794269 -30.7799610 -30.7803497 -30.7808470 -30.7812836 -30.7816644 -30.7821184 -30.7826259 -30.7832205 -30.7837862 -30.7842878 -30.7847566 -30.7851926 -30.7858067 -30.7863144 -30.7868090 -30.7873024 -30.7879037 -30.7883476 -30.7887516 -30.7891972 -30.7896494 -30.7901138 -30.7905804 -30.7910321 -30.7913700 -30.7916947 -30.7920502 -30.7922846 -30.7925671 -30.7928230 -30.7930810 -30.7933925 -30.7936212 -30.7937523 -30.7938855 -30.7940202 -30.7941496 -30.7942821 -30.7943841 -30.7945047 -30.7946670 -30.7948662 -30.7950700 -30.7953355 -30.7956288 -30.7959001 -30.7961876 -30.7964644 -30.7968551 -30.7972591 -30.7977492 -30.7983336 -30.7988341 -30.7993871 -30.7997904 -30.8000216 -30.8001951 5.5686974 -49.8513694 -33.8416132 
 5.0000000 -30.9970698 -30.9968858 -30.9965513 -30.9960335 -30.9954810 -30.9948208 -30.9937279 -30.9921563 -30.9910055 -30.9901542 -30.9906692 -30.9922746 -30.9928849 -30.9931795 -30.9933526 -30.9932173 -30.9929612 -30.9926270 -30.9922115 -30.9915841 -30.9909651 -30.9902055 -30.9892599 -30.9880240 -30.9853666 -30.9803854 -30.9754161 -30.9716672 -30.9728139 -30.9729064 -30.9724473 -30.9719323 -30.9715432 -30.9711277 -30.9707705 -30.9708091 -30.9710458 -30.9713321 -30.9717580 -30.9721854 -30.9727066 -30.9732361 -30.9736663 -30.9743495 -30.9748466 -30.9754827 -30.9760410 -30.9765279 -30.9771087 -30.9777577 -30.9785185 -30.9792421 -30.9798837 -30.9804833 -30.9810409 -30.9818265 -30.9824759 -30.9831085 -30.9837396 -30.9845088 -30.9850765 -30.9855931 -30.9861631 -30.9867413 -30.9873354 -30.9879322 -30.9885098 -30.9889419 -30.9893570 -30.9898117 -30.9901112 -30.9904724 -30.9907994 -30.9911293 -30.9915276 -30.9918200 -30.9919875 -30.9921577 -30.9923300 -30.9924953 -30.9926648 -30.9927951 -30.9929493 -30.9931569 -30.9934116 -30.9936724 -30.9940121 -30.9943874 -30.9947345 -30.9951023 -30.9954565 -30.9959565 -30.9964734 -30.9971007 -30.9978487 -30.9984893 -30.9991972 -30.9997134 -31.0000092 -31.0002314 5.7687750 -48.8708606 -33.6773974 
 6.0000000 -31.1964155 -31.1961894 -31.1957782 -31.1951417 -31.1944624 -31.1936510 -31.1923075 -31.1903756 -31.1889610 -31.1879143 -31.1885472 -31.1905203 -31.1912703 -31.1916323 -31.1918449 -31.1916784 -31.1913635 -31.1909525 -31.1904415 -31.1896701 -31.1889092 -31.1879752 -31.1868127 -31.1852933 -31.1820266 -31.1759036 -31.1697950 -31.1651865 -31.1665955 -31.1667086 -31.1661438 -31.1655102 -31.1650315 -31.1645201 -31.1640805 -31.1641274 -31.1644177 -31.1647690 -31.1652919 -31.1658167 -31.1664567 -31.1671069 -31.1676351 -31.1684742 -31.1690846 -31.1698659 -31.1705515 -31.1711494 -31.1718626 -31.1726598 -31.1735942 -31.1744830 -31.1752710 -31.1760074 -31.1766921 -31.1776571 -31.1784547 -31.1792317 -31.1800067 -31.1809516 -31.1816488 -31.1822831 -31.1829831 -31.1836932 -31.1844228 -31.1851557 -31.1858650 -31.1863956 -31.1869052 -31.1874635 -31.1878310 -31.1882744 -31.1886758 -31.1890807 -31.1895698 -31.1899288 -31.1901343 -31.1903432 -31.1905547 -31.1907576 -31.1909656 -31.1911255 -31.1913149 -31.1915698 -31.1918827 -31.1922029 -31.1926203 -31.1930814 -31.1935079 -31.1939597 -31.1943949 -31.1950092 -31.1956444 -31.1964152 -31.1973344 -31.1981218 -31.1989917 -31.1996262 -31.1999897 -31.2002627 5.9688495 -48.0644530 -33.5135756 
 7.0000000 -31.3957353 -31.3954650 -31.3949735 -31.3942127 -31.3934008 -31.3924308 -31.3908249 -31.3885157 -31.3868247 -31.3855735 -31.3863298 -31.3886880 -31.3895842 -31.3900166 -31.3902705 -31.3900713 -31.3896948 -31.3892034 -31.3885924 -31.3876702 -31.3867604 -31.3856438 -31.3842541 -31.3824378 -31.3785330 -31.3712141 -31.3639125 -31.3584037 -31.3600871 -31.3602218 -31.3595461 -31.3587882 -31.3582153 -31.3576035 -31.3570774 -31.3571328 -31.3574790 -31.3578983 -31.3585226 -31.3591491 -31.3599134 -31.3606898 -31.3613204 -31.3623227 -31.3630516 -31.3639847 -31.3648034 -31.3655173 -31.3663691 -31.3673211 -31.3684373 -31.3694988 -31.3704399 -31.3713194 -31.3721370 -31.3732897 -31.3742423 -31.3751702 -31.3760959 -31.3772245 -31.3780571 -31.3788145 -31.3796504 -31.3804984 -31.3813697 -31.3822450 -31.3830921 -31.3837256 -31.3843340 -31.3850006 -31.3854392 -31.3859685 -31.3864477 -31.3869310 -31.3875149 -31.3879435 -31.3881887 -31.3884381 -31.3886905 -31.3889327 -31.3891810 -31.3893718 -31.3895979 -31.3899023 -31.3902760 -31.3906586 -31.3911571 -31.3917080 -31.3922176 -31.3927574 -31.3932772 -31.3940112 -31.3947701 -31.3956913 -31.3967897 -31.3977307 -31.3987703 -31.3995285 -31.3999630 -31.4002891 6.1689212 -47.3772171 -33.3501637 
 8.0000000 -31.5950278 -31.5947112 -31.5941355 -31.5932446 -31.5922937 -31.5911577 -31.5892770 -31.5865727 -31.5845923 -31.5831269 -31.5840122 -31.5867736 -31.5878229 -31.5883291 -31.5886262 -31.5883927 -31.5879515 -31.5873759 -31.5866601 -31.5855799 -31.5845143 -31.5832064 -31.5815786 -31.5794514 -31.5748783 -31.5663071 -31.5577560 -31.5513043 -31.5532750 -31.5534320 -31.5526402 -31.5517519 -31.5510803 -31.5503631 -31.5497463 -31.5498104 -31.5502151 -31.5507053 -31.5514357 -31.5521685 -31.5530628 -31.5539712 -31.5547089 -31.5558818 -31.5567346 -31.5578265 -31.5587845 -31.5596197 -31.5606163 -31.5617304 -31.5630367 -31.5642790 -31.5653803 -31.5664094 -31.5673660 -31.5687150 -31.5698298 -31.5709156 -31.5719988 -31.5733197 -31.5742938 -31.5751799 -31.5761580 -31.5771503 -31.5781698 -31.5791940 -31.5801852 -31.5809262 -31.5816379 -31.5824178 -31.5829307 -31.5835498 -31.5841102 -31.5846754 -31.5853586 -31.5858600 -31.5861466 -31.5864383 -31.5867334 -31.5870168 -31.5873072 -31.5875303 -31.5877947 -31.5881509 -31.5885883 -31.5890359 -31.5896195 -31.5902644 -31.5908608 -31.5914927 -31.5921012 -31.5929603 -31.5938488 -31.5949273 -31.5962134 -31.5973151 -31.5985325 -31.5994203 -31.5999289 -31.6003108 6.3689902 -46.7763729 -33.1871780 
