// Co-polarized Raman gain spectrum for IDF fiber		
# df	RamanGain	
# [THz]	[1/m/W]	
# PumpFrequency	[THz]	206.753419
0	0.0
0.05	4.1125000E-06 
0.1	8.2250000E-06 
0.15	1.2337500E-05 
0.2	1.6450000E-05 
0.25	2.0562500E-05 
0.3	2.4675000E-05 
0.35	2.8787500E-05 
0.4	3.2900000E-05
0.45	4.0100400E-05 
0.5	4.5947200E-05 
0.55	5.2583600E-05 
0.6	6.0047200E-05 
0.65	6.8413200E-05 
0.7	7.7738000E-05 
0.75	8.8012200E-05 
0.8	9.9179400E-05 
0.85	1.1126310E-04 
0.9	1.2412700E-04 
0.95	1.3755490E-04 
1	1.5154680E-04 
1.05	1.6593820E-04 
1.1	1.8055990E-04 
1.15	1.9520510E-04 
1.2	2.0963420E-04 
1.25	2.2370120E-04 
1.3	2.3708220E-04 
1.35	2.4984260E-04 
1.4	2.6204860E-04 
1.45	2.7363400E-04 
1.5	2.8464140E-04 
1.55	2.9511300E-04 
1.6	3.0513820E-04 
1.65	3.1484840E-04 
1.7	3.2421540E-04 
1.75	3.3318300E-04 
1.8	3.4180280E-04 
1.85	3.5016420E-04 
1.9	3.5821060E-04 
1.95	3.6591380E-04 
2	3.7331640E-04 
2.05	3.8140980E-04 
2.1	3.8878400E-04 
2.15	3.9589040E-04 
2.2	4.0266780E-04 
2.25	4.0906920E-04 
2.3	4.1518860E-04 
2.35	4.2115300E-04 
2.4	4.2696680E-04 
2.45	4.3263500E-04 
2.5	4.3812940E-04 
2.55	4.4346860E-04 
2.6	4.4864800E-04 
2.65	4.5356420E-04 
2.7	4.5823600E-04 
2.75	4.6273860E-04 
2.8	4.6707660E-04 
2.85	4.7125960E-04 
2.9	4.7529700E-04 
2.95	4.7918860E-04 
3	4.8293440E-04 
3.05	4.8646420E-04 
3.1	4.8979180E-04 
3.15	4.9294540E-04 
3.2	4.9593460E-04 
3.25	4.9879220E-04 
3.3	5.0154180E-04 
3.35	5.0420660E-04 
3.4	5.0679160E-04 
3.45	5.0931560E-04 
3.5	5.1173600E-04 
3.55	5.1393560E-04 
3.6	5.1593780E-04 
3.65	5.1778960E-04 
3.7	5.1962260E-04 
3.75	5.2144620E-04 
3.8	5.2325100E-04 
3.85	5.2488660E-04 
3.9	5.2638120E-04 
3.95	5.2778660E-04 
4	5.2913080E-04 
4.05	5.3043740E-04 
4.1	5.3173920E-04 
4.15	5.3304580E-04 
4.2	5.3436660E-04 
4.25	5.3580000E-04 
4.3	5.3734640E-04 
4.35	5.3878920E-04 
4.4	5.4012400E-04 
4.45	5.4139780E-04 
4.5	5.4279840E-04 
4.55	5.4433520E-04 
4.6	5.4600380E-04 
4.65	5.4768640E-04 
4.7	5.4938300E-04 
4.75	5.5120200E-04 
4.8	5.5323240E-04 
4.85	5.5543660E-04 
4.9	5.5749060E-04 
4.95	5.5941280E-04 
5	5.6123640E-04 
5.05	5.6320100E-04 
5.1	5.6529720E-04 
5.15	5.6755800E-04 
5.2	5.7003480E-04 
5.25	5.7270920E-04 
5.3	5.7515780E-04 
5.35	5.7736220E-04 
5.4	5.7939260E-04 
5.45	5.8167200E-04 
5.5	5.8431340E-04 
5.55	5.8729320E-04 
5.6	5.9044220E-04 
5.65	5.9364760E-04 
5.7	5.9694700E-04 
5.75	6.0036860E-04 
5.8	6.0391240E-04 
5.85	6.0751260E-04 
5.9	6.1111280E-04 
5.95	6.1470840E-04 
6	6.1823340E-04 
6.05	6.2172080E-04 
6.1	6.2537740E-04 
6.15	6.2935820E-04 
6.2	6.3364000E-04 
6.25	6.3804860E-04 
