// Co-polarized Raman gain spectrum for SLA fiber		
# df	RamanGain	
# [THz]	[1/m/W]	
# PumpFrequency	[THz]	206.753419
0	0.0
0.05	1.1900000E-06
0.1	2.3800000E-06
0.15	3.5700000E-06
0.2	4.7600000E-06
0.25	5.9500000E-06
0.3	7.1400000E-06
0.35	8.3300000E-06
0.4	9.5200000E-06
0.45	1.1603520E-05
0.5	1.3295360E-05
0.55	1.5215680E-05
0.6	1.7375360E-05
0.65	1.9796160E-05
0.7	2.2494400E-05
0.75	2.5467360E-05
0.8	2.8698720E-05
0.85	3.2195280E-05
0.9	3.5917600E-05
0.95	3.9803120E-05
1	4.3851840E-05
1.05	4.8016160E-05
1.1	5.2247120E-05
1.15	5.6484880E-05
1.2	6.0660080E-05
1.25	6.4730560E-05
1.3	6.8602480E-05
1.35	7.2294880E-05
1.4	7.5826800E-05
1.45	7.9179200E-05
1.5	8.2364320E-05
1.55	8.5394400E-05
1.6	8.8295280E-05
1.65	9.1105040E-05
1.7	9.3815520E-05
1.75	9.6410400E-05
1.8	9.8904640E-05
1.85	1.0132408E-04
1.9	1.0365240E-04
1.95	1.0588144E-04
2	1.0802344E-04
2.05	1.1036536E-04
2.1	1.1249920E-04
2.15	1.1455552E-04
2.2	1.1651664E-04
2.25	1.1836896E-04
2.3	1.2013968E-04
2.35	1.2186552E-04
2.4	1.2354784E-04
2.45	1.2518800E-04
2.5	1.2677784E-04
2.55	1.2832280E-04
2.6	1.2982152E-04
2.65	1.3124408E-04
2.7	1.3259592E-04
2.75	1.3389880E-04
2.8	1.3515408E-04
2.85	1.3636448E-04
2.9	1.3753272E-04
2.95	1.3865880E-04
3	1.3974272E-04
3.05	1.4076408E-04
3.1	1.4172696E-04
3.15	1.4263952E-04
3.2	1.4350448E-04
3.25	1.4433136E-04
3.3	1.4512696E-04
3.35	1.4589808E-04
3.4	1.4664608E-04
3.45	1.4737640E-04
3.5	1.4807680E-04
3.55	1.4871328E-04
3.6	1.4929264E-04
3.65	1.4982848E-04
3.7	1.5035888E-04
3.75	1.5088656E-04
3.8	1.5140880E-04
3.85	1.5188208E-04
3.9	1.5231456E-04
3.95	1.5272120E-04
4	1.5311016E-04
4.05	1.5348824E-04
4.1	1.5386496E-04
4.15	1.5424304E-04
4.2	1.5462520E-04
4.25	1.5504000E-04
4.3	1.5548744E-04
4.35	1.5590496E-04
4.4	1.5629120E-04
4.45	1.5665976E-04
4.5	1.5706504E-04
4.55	1.5750976E-04
4.6	1.5799256E-04
4.65	1.5847944E-04
4.7	1.5897040E-04
4.75	1.5949672E-04
4.8	1.6008424E-04
4.85	1.6072208E-04
4.9	1.6131640E-04
4.95	1.6187264E-04
5	1.6240032E-04
5.05	1.6296880E-04
5.1	1.6357536E-04
5.15	1.6422952E-04
5.2	1.6494624E-04
5.25	1.6572008E-04
5.3	1.6642864E-04
5.35	1.6706648E-04
5.4	1.6765400E-04
5.45	1.6831360E-04
5.5	1.6907792E-04
5.55	1.6994016E-04
5.6	1.7085136E-04
5.65	1.7177888E-04
5.7	1.7273360E-04
5.75	1.7372368E-04
5.8	1.7474912E-04
5.85	1.7579088E-04
5.9	1.7683264E-04
5.95	1.7787304E-04
6	1.7889304E-04
6.05	1.7990216E-04
6.1	1.8096024E-04
6.15	1.8211216E-04
6.2	1.8335112E-04
6.25	1.8462680E-04
6.3	1.8590792E-04
6.35	1.8719040E-04
6.4	1.8849872E-04
6.45	1.8977712E-04
6.5	1.9103920E-04
6.55	1.9232032E-04
