// Co-polarized Raman gain spectrum for SMF fibers
# df	RamanGain
# [ Hz ] [ 1/m/W ]
# PumpWavelength [ nm ] 1500
0.0000E+00	0.00000E+00
5.0000E+10	1.26410E-06
1.0000E+11	2.52819E-06
1.5000E+11	3.79229E-06
2.0000E+11	5.05638E-06
2.5000E+11	6.32048E-06
3.0000E+11	7.58457E-06
3.5000E+11	9.31797E-06
4.0000E+11	1.10877E-05
4.5000E+11	1.28575E-05
5.0000E+11	1.46272E-05
5.5000E+11	1.63969E-05
6.0000E+11	1.91272E-05
6.5000E+11	2.22242E-05
7.0000E+11	2.53213E-05
7.5000E+11	2.87555E-05
8.0000E+11	3.31798E-05
8.5000E+11	3.76042E-05
9.0000E+11	4.20285E-05
9.5000E+11	4.71470E-05
1.0000E+12	5.24563E-05
1.0500E+12	5.76364E-05
1.1000E+12	6.22366E-05
1.1500E+12	6.66005E-05
1.2000E+12	6.98879E-05
1.2500E+12	7.31754E-05
1.3000E+12	7.86699E-05
1.3500E+12	8.45686E-05
1.4000E+12	9.02361E-05
1.4500E+12	9.51824E-05
1.5000E+12	1.00129E-04
1.5500E+12	1.03888E-04
1.6000E+12	1.07272E-04
1.6500E+12	1.10662E-04
1.7000E+12	1.14202E-04
1.7500E+12	1.17741E-04
1.8000E+12	1.21281E-04
1.8500E+12	1.25329E-04
1.9000E+12	1.29764E-04
1.9500E+12	1.32462E-04
2.0000E+12	1.34815E-04
2.0500E+12	1.37170E-04
2.1000E+12	1.39529E-04
2.1500E+12	1.41889E-04
2.2000E+12	1.44371E-04
2.2500E+12	1.46925E-04
2.3000E+12	1.49479E-04
2.3500E+12	1.51995E-04
2.4000E+12	1.54307E-04
2.4500E+12	1.56620E-04
2.5000E+12	1.58932E-04
2.5500E+12	1.61296E-04
2.6000E+12	1.63683E-04
2.6500E+12	1.66070E-04
2.7000E+12	1.68456E-04
2.7500E+12	1.70999E-04
2.8000E+12	1.73827E-04
2.8500E+12	1.76656E-04
2.9000E+12	1.79056E-04
2.9500E+12	1.81027E-04
3.0000E+12	1.82998E-04
3.0500E+12	1.84969E-04
3.1000E+12	1.86791E-04
3.1500E+12	1.88400E-04
3.2000E+12	1.90009E-04
3.2500E+12	1.91619E-04
3.3000E+12	1.93228E-04
3.3500E+12	1.94907E-04
3.4000E+12	1.96852E-04
3.4500E+12	1.98797E-04
3.5000E+12	2.00223E-04
3.5500E+12	2.01313E-04
3.6000E+12	2.02404E-04
3.6500E+12	2.03494E-04
3.7000E+12	2.04584E-04
3.7500E+12	2.05637E-04
3.8000E+12	2.06495E-04
3.8500E+12	2.07353E-04
3.9000E+12	2.08210E-04
3.9500E+12	2.09068E-04
4.0000E+12	2.09926E-04
4.0500E+12	2.10889E-04
4.1000E+12	2.12066E-04
4.1500E+12	2.13243E-04
4.2000E+12	2.14420E-04
4.2500E+12	2.15597E-04
4.3000E+12	2.16754E-04
4.3500E+12	2.17775E-04
4.4000E+12	2.18796E-04
4.4500E+12	2.19817E-04
4.5000E+12	2.20838E-04
4.5500E+12	2.22067E-04
4.6000E+12	2.23352E-04
4.6500E+12	2.24636E-04
4.7000E+12	2.25921E-04
4.7500E+12	2.27004E-04
4.8000E+12	2.27843E-04
4.8500E+12	2.28682E-04
4.9000E+12	2.29521E-04
4.9500E+12	2.30468E-04
5.0000E+12	2.32237E-04
5.0500E+12	2.34007E-04
5.1000E+12	2.35777E-04
5.1500E+12	2.37546E-04
5.2000E+12	2.40005E-04
5.2500E+12	2.42659E-04
5.3000E+12	2.45314E-04
5.3500E+12	2.47969E-04
5.4000E+12	2.50624E-04
5.4500E+12	2.52973E-04
5.5000E+12	2.55097E-04
5.5500E+12	2.57220E-04
5.6000E+12	2.59344E-04
5.6500E+12	2.61479E-04
5.7000E+12	2.63651E-04
5.7500E+12	2.65822E-04
5.8000E+12	2.67994E-04
5.8500E+12	2.70084E-04
5.9000E+12	2.72150E-04
5.9500E+12	2.74399E-04
6.0000E+12	2.77575E-04
6.0500E+12	2.80274E-04
6.1000E+12	2.82337E-04
6.1500E+12	2.83957E-04
6.2000E+12	2.85466E-04
6.2500E+12	2.88469E-04
6.3000E+12	2.91533E-04
6.3500E+12	2.94579E-04
6.4000E+12	2.97590E-04
6.4500E+12	3.00600E-04
6.5000E+12	3.03611E-04
6.5500E+12	3.06149E-04
6.6000E+12	3.08626E-04
6.6500E+12	3.11104E-04
6.7000E+12	3.13581E-04
6.7500E+12	3.16623E-04
6.8000E+12	3.20123E-04
6.8500E+12	3.23624E-04
6.9000E+12	3.27125E-04
6.9500E+12	3.30883E-04
7.0000E+12	3.35587E-04
7.0500E+12	3.40097E-04
7.1000E+12	3.43922E-04
7.1500E+12	3.47748E-04
7.2000E+12	3.51572E-04
7.2500E+12	3.55291E-04
7.3000E+12	3.59009E-04
7.3500E+12	3.62838E-04
7.4000E+12	3.67481E-04
7.4500E+12	3.72123E-04
7.5000E+12	3.75877E-04
7.5500E+12	3.79417E-04
7.6000E+12	3.82956E-04
7.6500E+12	3.86496E-04
7.7000E+12	3.90243E-04
7.7500E+12	3.94224E-04
7.8000E+12	3.98206E-04
7.8500E+12	4.02188E-04
7.9000E+12	4.05608E-04
7.9500E+12	4.08933E-04
8.0000E+12	4.11996E-04
8.0500E+12	4.15058E-04
8.1000E+12	4.18120E-04
8.1500E+12	4.22483E-04
8.2000E+12	4.27184E-04
8.2500E+12	4.33144E-04
8.3000E+12	4.38949E-04
8.3500E+12	4.43412E-04
8.4000E+12	4.47876E-04
8.4500E+12	4.52323E-04
8.5000E+12	4.56687E-04
8.5500E+12	4.60984E-04
8.6000E+12	4.64793E-04
8.6500E+12	4.68601E-04
8.7000E+12	4.72410E-04
8.7500E+12	4.76637E-04
8.8000E+12	4.81754E-04
8.8500E+12	4.86813E-04
8.9000E+12	4.90759E-04
8.9500E+12	4.94705E-04
9.0000E+12	4.99173E-04
9.0500E+12	5.03935E-04
9.1000E+12	5.08876E-04
9.1500E+12	5.14528E-04
9.2000E+12	5.20311E-04
9.2500E+12	5.24441E-04
9.3000E+12	5.27929E-04
9.3500E+12	5.31417E-04
9.4000E+12	5.35221E-04
9.4500E+12	5.39203E-04
9.5000E+12	5.43185E-04
9.5500E+12	5.47186E-04
9.6000E+12	5.51281E-04
9.6500E+12	5.55375E-04
9.7000E+12	5.59470E-04
9.7500E+12	5.63943E-04
9.8000E+12	5.68487E-04
9.8500E+12	5.73068E-04
9.9000E+12	5.77985E-04
9.9500E+12	5.82902E-04
1.0000E+13	5.87932E-04
1.0050E+13	5.93037E-04
1.0100E+13	5.98143E-04
1.0150E+13	6.03267E-04
1.0200E+13	6.08393E-04
1.0250E+13	6.13519E-04
1.0300E+13	6.17978E-04
1.0350E+13	6.21993E-04
1.0400E+13	6.25804E-04
1.0450E+13	6.29524E-04
