# df	RamanGain
# [ THz ] [ 1/km/W ]
# PumpWavelength [ nm ] 1460
0.00	0.00000
0.05	0.00129
0.10	0.00259
0.15	0.00388
0.20	0.00517
0.25	0.00646
0.30	0.00776
0.35	0.00905
0.40	0.01034
0.45	0.01163
0.50	0.01293
0.55	0.01422
0.60	0.01551
0.65	0.01680
0.70	0.01810
0.75	0.01942
0.80	0.02130
0.85	0.02317
0.90	0.02517
0.95	0.03032
1.00	0.03547
1.05	0.03856
1.10	0.04132
1.15	0.04409
1.20	0.04684
1.25	0.04959
1.30	0.05234
1.35	0.05533
1.40	0.05851
1.45	0.06108
1.50	0.06250
1.55	0.06393
1.60	0.06537
1.65	0.06697
1.70	0.06858
1.75	0.07025
1.80	0.07193
1.85	0.07360
1.90	0.07460
1.95	0.07530
2.00	0.07601
2.05	0.07693
2.10	0.07806
2.15	0.07907
2.20	0.07988
2.25	0.08069
2.30	0.08197
2.35	0.08427
2.40	0.08609
2.45	0.08679
2.50	0.08748
2.55	0.08839
2.60	0.08988
2.65	0.09137
2.70	0.09299
2.75	0.09491
2.80	0.09661
2.85	0.09776
2.90	0.09892
2.95	0.10008
3.00	0.10123
3.05	0.10225
3.10	0.10290
3.15	0.10355
3.20	0.10414
3.25	0.10453
3.30	0.10492
3.35	0.10535
3.40	0.10595
3.45	0.10656
3.50	0.10721
3.55	0.10786
3.60	0.10851
3.65	0.10871
3.70	0.10890
3.75	0.10909
3.80	0.10990
3.85	0.11081
3.90	0.11120
3.95	0.11144
4.00	0.11169
4.05	0.11169
4.10	0.11158
4.15	0.11147
4.20	0.11122
4.25	0.11086
4.30	0.11050
4.35	0.11041
4.40	0.11064
4.45	0.11063
4.50	0.11026
4.55	0.10989
4.60	0.10977
4.65	0.11013
4.70	0.11049
4.75	0.11082
4.80	0.11110
4.85	0.11164
4.90	0.11267
4.95	0.11371
5.00	0.11457
5.05	0.11512
5.10	0.11568
5.15	0.11666
5.20	0.11831
5.25	0.11953
5.30	0.12002
5.35	0.12051
5.40	0.12110
5.45	0.12190
5.50	0.12271
5.55	0.12343
5.60	0.12394
5.65	0.12445
5.70	0.12497
5.75	0.12549
5.80	0.12601
5.85	0.12654
5.90	0.12707
5.95	0.12767
6.00	0.12883
6.05	0.13000
6.10	0.13095
6.15	0.13191
6.20	0.13287
6.25	0.13363
6.30	0.13439
6.35	0.13515
6.40	0.13673
6.45	0.13834
6.50	0.13918
6.55	0.13994
6.60	0.14070
6.65	0.14143
6.70	0.14215
6.75	0.14287
6.80	0.14444
6.85	0.14605
6.90	0.14715
6.95	0.14823
7.00	0.14931
7.05	0.15036
7.10	0.15141
7.15	0.15246
7.20	0.15412
7.25	0.15580
7.30	0.15721
7.35	0.15858
7.40	0.15994
7.45	0.16120
7.50	0.16246
7.55	0.16384
7.60	0.16580
7.65	0.16771
7.70	0.16892
7.75	0.17014
7.80	0.17138
7.85	0.17275
7.90	0.17412
7.95	0.17557
8.00	0.17730
8.05	0.17903
8.10	0.18080
8.15	0.18274
8.20	0.18465
8.25	0.18610
8.30	0.18756
8.35	0.18901
8.40	0.19051
8.45	0.19200
8.50	0.19350
