// Raman gain spectrum for silica SMF fibers	
// C.M.McIntosh, D.N.Christodoulidis, J.Toulouse, et. al., OAA 2000, paper OMB3-1, pp.10-12
// R.H.Stolen, C.Lee, R.K.Jain, JOSA B1, pp. 652-657, 1984.
// Gain data are normalized to the wavelength 1500nm or frequency 199.861639e+12 Hz.	
// Effective core area used in calculations of the gain [1/m/W] from the gain	
// coefficient [m/W] is Aeff = 20e-12	
# df	RamanGain
# [ Hz ] [ 1/m/W ]
# PumpFrequency [ Hz ] 199.86e12
0.00000E+00	0
5.00000E+10	1.01128E-05
1.00000E+11	2.02256E-05
1.50000E+11	3.03384E-05
2.00000E+11	0.000040451
2.50000E+11	5.05638E-05
3.00000E+11	6.06766E-05
3.50000E+11	7.45438E-05
4.00000E+11	8.87016E-05
4.50000E+11	0.00010286
5.00000E+11	0.000117018
5.50000E+11	0.000131175
6.00000E+11	0.000153018
6.50000E+11	0.000177794
7.00000E+11	0.00020257
7.50000E+11	0.000230044
8.00000E+11	0.000265438
8.50000E+11	0.000300834
9.00000E+11	0.000336228
9.50000E+11	0.000377176
1.00000E+12	0.00041965
1.05000E+12	0.000461092
1.10000E+12	0.000497892
1.15000E+12	0.000532804
1.20000E+12	0.000559104
1.25000E+12	0.000585404
1.30000E+12	0.00062936
1.35000E+12	0.000676548
1.40000E+12	0.000721888
1.45000E+12	0.00076146
1.50000E+12	0.000801032
1.55000E+12	0.000831104
1.60000E+12	0.000858176
1.65000E+12	0.000885296
1.70000E+12	0.000913616
1.75000E+12	0.000941928
1.80000E+12	0.000970248
1.85000E+12	0.001002632
1.90000E+12	0.001038112
1.95000E+12	0.001059696
2.00000E+12	0.00107852
2.05000E+12	0.00109736
2.10000E+12	0.001116232
2.15000E+12	0.001135112
2.20000E+12	0.001154968
2.25000E+12	0.0011754
2.30000E+12	0.001195832
2.35000E+12	0.00121596
2.40000E+12	0.001234456
2.45000E+12	0.00125296
2.50000E+12	0.001271456
2.55000E+12	0.001290368
2.60000E+12	0.001309464
2.65000E+12	0.00132856
2.70000E+12	0.001347648
2.75000E+12	0.001367992
2.80000E+12	0.001390616
2.85000E+12	0.001413248
2.90000E+12	0.001432448
2.95000E+12	0.001448216
3.00000E+12	0.001463984
3.05000E+12	0.001479752
3.10000E+12	0.001494328
3.15000E+12	0.0015072
3.20000E+12	0.001520072
3.25000E+12	0.001532952
3.30000E+12	0.001545824
3.35000E+12	0.001559256
3.40000E+12	0.001574816
3.45000E+12	0.001590376
3.50000E+12	0.001601784
3.55000E+12	0.001610504
3.60000E+12	0.001619232
3.65000E+12	0.001627952
3.70000E+12	0.001636672
3.75000E+12	0.001645096
3.80000E+12	0.00165196
3.85000E+12	0.001658824
3.90000E+12	0.00166568
3.95000E+12	0.001672544
4.00000E+12	0.001679408
4.05000E+12	0.001687112
4.10000E+12	0.001696528
4.15000E+12	0.001705944
4.20000E+12	0.00171536
4.25000E+12	0.001724776
4.30000E+12	0.001734032
4.35000E+12	0.0017422
4.40000E+12	0.001750368
4.45000E+12	0.001758536
4.50000E+12	0.001766704
4.55000E+12	0.001776536
4.60000E+12	0.001786816
4.65000E+12	0.001797088
4.70000E+12	0.001807368
4.75000E+12	0.001816032
4.80000E+12	0.001822744
4.85000E+12	0.001829456
4.90000E+12	0.001836168
4.95000E+12	0.001843744
5.00000E+12	0.001857896
5.05000E+12	0.001872056
5.10000E+12	0.001886216
5.15000E+12	0.001900368
5.20000E+12	0.00192004
5.25000E+12	0.001941272
5.30000E+12	0.001962512
5.35000E+12	0.001983752
5.40000E+12	0.002005
5.45000E+12	0.00202378
5.50000E+12	0.00204078
5.55000E+12	0.00205776
5.60000E+12	0.00207476
5.65000E+12	0.00209184
5.70000E+12	0.0021092
5.75000E+12	0.00212658
5.80000E+12	0.00214396
5.85000E+12	0.00216068
5.90000E+12	0.0021772
5.95000E+12	0.0021952
6.00000E+12	0.0022206
6.05000E+12	0.0022422
6.10000E+12	0.0022587
6.15000E+12	0.00227166
6.20000E+12	0.00228372
6.25000E+12	0.00230776
6.30000E+12	0.00233226
6.35000E+12	0.00235664
6.40000E+12	0.00238072
6.45000E+12	0.0024048
6.50000E+12	0.00242888
6.55000E+12	0.0024492
6.60000E+12	0.002469
6.65000E+12	0.00248884
6.70000E+12	0.00250864
6.75000E+12	0.00253298
6.80000E+12	0.00256098
6.85000E+12	0.002589
6.90000E+12	0.002617
6.95000E+12	0.00264706
7.00000E+12	0.0026847
7.05000E+12	0.00272078
7.10000E+12	0.00275138
7.15000E+12	0.00278198
