// Co-polarized Raman gain spectrum for DCF fibers
# df	RamanGain
# [ Hz ] [ 1/m/W ]
# PumpWavelength [ nm ] 1500
0.00000E+00	  0.00000E+00
5.00000E+10	  1.01128E-05
1.00000E+11	  2.02256E-05
1.50000E+11	  3.03384E-05
2.00000E+11	  4.04510E-05
2.50000E+11	  5.05638E-05
3.00000E+11	  6.06766E-05
3.50000E+11	  7.45438E-05
4.00000E+11	  8.87016E-05
4.50000E+11	  1.02860E-04
5.00000E+11	  1.17018E-04
5.50000E+11	  1.31175E-04
6.00000E+11	  1.53018E-04
6.50000E+11	  1.77794E-04
7.00000E+11	  2.02570E-04
7.50000E+11	  2.30044E-04
8.00000E+11	  2.65438E-04
8.50000E+11	  3.00834E-04
9.00000E+11	  3.36228E-04
9.50000E+11	  3.77176E-04
1.00000E+12	  4.19650E-04
1.05000E+12	  4.61092E-04
1.10000E+12	  4.97892E-04
1.15000E+12	  5.32804E-04
1.20000E+12	  5.59104E-04
1.25000E+12	  5.85404E-04
1.30000E+12	  6.29360E-04
1.35000E+12	  6.76548E-04
1.40000E+12	  7.21888E-04
1.45000E+12	  7.61460E-04
1.50000E+12	  8.01032E-04
1.55000E+12	  8.31104E-04
1.60000E+12	  8.58176E-04
1.65000E+12	  8.85296E-04
1.70000E+12	  9.13616E-04
1.75000E+12	  9.41928E-04
1.80000E+12	  9.70248E-04
1.85000E+12	  1.00263E-03
1.90000E+12	  1.03811E-03
1.95000E+12	  1.05970E-03
2.00000E+12	  1.07852E-03
2.05000E+12	  1.09736E-03
2.10000E+12	  1.11623E-03
2.15000E+12	  1.13511E-03
2.20000E+12	  1.15497E-03
2.25000E+12	  1.17540E-03
2.30000E+12	  1.19583E-03
2.35000E+12	  1.21596E-03
2.40000E+12	  1.23446E-03
2.45000E+12	  1.25296E-03
2.50000E+12	  1.27146E-03
2.55000E+12	  1.29037E-03
2.60000E+12	  1.30946E-03
2.65000E+12	  1.32856E-03
2.70000E+12	  1.34765E-03
2.75000E+12	  1.36799E-03
2.80000E+12	  1.39062E-03
2.85000E+12	  1.41325E-03
2.90000E+12	  1.43245E-03
2.95000E+12	  1.44822E-03
3.00000E+12	  1.46398E-03
3.05000E+12	  1.47975E-03
3.10000E+12	  1.49433E-03
3.15000E+12	  1.50720E-03
3.20000E+12	  1.52007E-03
3.25000E+12	  1.53295E-03
3.30000E+12	  1.54582E-03
3.35000E+12	  1.55926E-03
3.40000E+12	  1.57482E-03
3.45000E+12	  1.59038E-03
3.50000E+12	  1.60178E-03
3.55000E+12	  1.61050E-03
3.60000E+12	  1.61923E-03
3.65000E+12	  1.62795E-03
3.70000E+12	  1.63667E-03
3.75000E+12	  1.64510E-03
3.80000E+12	  1.65196E-03
3.85000E+12	  1.65882E-03
3.90000E+12	  1.66568E-03
3.95000E+12	  1.67254E-03
4.00000E+12	  1.67941E-03
4.05000E+12	  1.68711E-03
4.10000E+12	  1.69653E-03
4.15000E+12	  1.70594E-03
4.20000E+12	  1.71536E-03
4.25000E+12	  1.72478E-03
4.30000E+12	  1.73403E-03
4.35000E+12	  1.74220E-03
4.40000E+12	  1.75037E-03
4.45000E+12	  1.75854E-03
4.50000E+12	  1.76670E-03
4.55000E+12	  1.77654E-03
4.60000E+12	  1.78682E-03
4.65000E+12	  1.79709E-03
4.70000E+12	  1.80737E-03
4.75000E+12	  1.81603E-03
4.80000E+12	  1.82274E-03
4.85000E+12	  1.82946E-03
4.90000E+12	  1.83617E-03
4.95000E+12	  1.84374E-03
5.00000E+12	  1.85790E-03
5.05000E+12	  1.87206E-03
5.10000E+12	  1.88622E-03
5.15000E+12	  1.90037E-03
5.20000E+12	  1.92004E-03
5.25000E+12	  1.94127E-03
