// Co-polarized Raman gain spectrum for DCF fiber
# df	RamanGain
# [ THz ] [ 1/km/W ]
# PumpWavelength [ nm ] 1460
0.00	0.0
0.05	0.01086
0.10	0.02182
0.15	0.03268
0.20	0.04354
0.25	0.0544
0.30	0.06534
0.35	0.07622
0.40	0.08708
0.45	0.09794
0.50	0.10888
0.55	0.11974
0.60	0.13062
0.65	0.14148
0.70	0.15242
0.75	0.16354
0.80	0.17936
0.85	0.19512
0.90	0.21196
0.95	0.25532
1.00	0.2987
1.05	0.32472
1.10	0.34796
1.15	0.37128
1.20	0.39444
1.25	0.4176
1.30	0.44076
1.35	0.46594
1.40	0.49272
1.45	0.51436
1.50	0.52632
1.55	0.53836
1.60	0.55048
1.65	0.56396
1.70	0.57752
1.75	0.59158
1.80	0.60572
1.85	0.61978
1.90	0.62822
1.95	0.6341
2.00	0.64008
2.05	0.64784
2.10	0.65734
2.15	0.66586
2.20	0.67268
2.25	0.6795
2.30	0.69028
2.35	0.70964
2.40	0.72496
2.45	0.73086
2.50	0.73668
2.55	0.74434
2.60	0.75688
2.65	0.76944
2.70	0.78308
2.75	0.79924
2.80	0.81356
2.85	0.82324
2.90	0.83302
2.95	0.84278
3.00	0.85246
3.05	0.86106
3.10	0.86652
3.15	0.872
3.20	0.87696
3.25	0.88026
3.30	0.88354
3.35	0.88716
3.40	0.89222
3.45	0.89734
3.50	0.90282
3.55	0.9083
3.60	0.91376
3.65	0.91546
3.70	0.91706
3.75	0.91866
3.80	0.92548
3.85	0.93314
3.90	0.93642
3.95	0.93844
4.00	0.94054
4.05	0.94054
4.10	0.93962
4.15	0.9387
4.20	0.93658
4.25	0.93356
4.30	0.93052
4.35	0.92976
4.40	0.9317
4.45	0.93162
4.50	0.9285
4.55	0.92538
4.60	0.92438
4.65	0.92742
4.70	0.93044
4.75	0.93322
4.80	0.93558
4.85	0.94012
4.90	0.9488
4.95	0.95756
5.00	0.9648
5.05	0.96944
5.10	0.97414
5.15	0.9824
5.20	0.9963
5.25	1.00656
5.30	1.0107
5.35	1.01482
5.40	1.01978
5.45	1.02652
5.50	1.03334
5.55	1.03942
5.60	1.0437
5.65	1.048
5.70	1.05238
5.75	1.05676
5.80	1.06114
5.85	1.0656
5.90	1.07006
5.95	1.07512
6.00	1.08488
6.05	1.09474
6.10	1.10274
6.15	1.11082
6.20	1.1189
6.25	1.1253
6.30	1.1317
6.35	1.1381
6.40	1.15142
6.45	1.16496
6.50	1.17204
6.55	1.17844
6.60	1.18484
6.65	1.19098
6.70	1.19706
6.75	1.20312
6.80	1.21634
6.85	1.2299
6.90	1.23916
6.95	1.24826
7.00	1.25734
7.05	1.26618
7.10	1.27504
7.15	1.28388
7.20	1.29786
7.25	1.312
7.30	1.32388
7.35	1.33542
7.40	1.34686
7.45	1.35748
7.50	1.36808
7.55	1.3797
7.60	1.39622
7.65	1.4123
7.70	1.42248
7.75	1.43276
7.80	1.4432
7.85	1.45474
7.90	1.46628
7.95	1.47848
8.00	1.49306
8.05	1.50762
8.10	1.52252
8.15	1.53886
8.20	1.55494
8.25	1.56716
8.30	1.57946
8.35	1.59166
8.40	1.6043
8.45	1.61684
8.50	1.62948
8.55	1.65052
8.60	1.67166
8.65	1.68336
8.70	1.69424
8.75	1.70518
8.80	1.72026
8.85	1.73532
8.90	1.7515
8.95	1.77356
9.00	1.79386
9.05	1.80826
9.10	1.82266
9.15	1.83664
9.20	1.85002
9.25	1.86332
9.30	1.88278
9.35	1.90586
9.40	1.92304
9.45	1.93684
9.50	1.95056
9.55	1.96522
9.60	1.98046
9.65	1.9957
9.70	2.01718
9.75	2.04194
9.80	2.06172
9.85	2.0789
9.90	2.09616
9.95	2.11242
10.00	2.12842
10.05	2.14434
10.10	2.16126
10.15	2.17836
10.20	2.19554
10.25	2.22442
10.30	2.25162
10.35	2.2683
10.40	2.28488
10.45	2.30182
10.50	2.32008
10.55	2.33844
10.60	2.36068
10.65	2.39066
10.70	2.41482
10.75	2.43268
10.80	2.45052
10.85	2.46972
10.90	2.49036
10.95	2.51098
11.00	2.53836
11.05	2.56774
11.10	2.58754
11.15	2.60624
11.20	2.62484
11.25	2.64186
11.30	2.65886
11.35	2.6789
11.40	2.70282
11.45	2.72152
11.50	2.73616
11.55	2.7509
11.60	2.76716
11.65	2.78408
11.70	2.80176
11.75	2.82206
11.80	2.8411
11.85	2.856
11.90	2.87098
11.95	2.88624
12.00	2.9019
12.05	2.91756
12.10	2.93752
12.15	2.95908
12.20	2.97364
12.25	2.98544
12.30	2.9973
12.35	3.0101
12.40	3.02332
12.45	3.03654
12.50	3.05718
12.55	3.0779
12.60	3.09002
12.65	3.10214
12.70	3.11386
12.75	3.12262
12.80	3.13136
12.85	3.14366
12.90	3.16118
12.95	3.1733
13.00	3.18012
13.05	3.18704
13.10	3.19318
13.15	3.19898
13.20	3.20472
13.25	3.20826
13.30	3.21112
13.35	3.21028
13.40	3.20944
13.45	3.20564
13.50	3.19638
13.55	3.1872
13.60	3.17836
13.65	3.16968
13.70	3.16092
13.75	3.14392
13.80	3.12648
13.85	3.11184
13.90	3.09718
13.95	3.08598
14.00	3.0779
14.05	3.06982
14.10	3.06778
14.15	3.0693
14.20	3.07292
14.25	3.07706
14.30	3.08152
14.35	3.08716
14.40	3.0928
14.45	3.0971
14.50	3.09836
14.55	3.09306
14.60	3.0805
14.65	3.06796
14.70	3.04068
14.75	3.01018
14.80	2.97978
14.85	2.9024
14.90	2.8224
14.95	2.74872
15.00	2.67504
