// Co-polarized Raman gain spectrum for PSCF fiber
# df	RamanGain
# [ THz ] [ 1/km/W ]
# PumpWavelength [ nm ] 1460
0.00	0.0
0.05	0.00194
0.10	0.0039
0.15	0.00586
0.20	0.0078
0.25	0.00976
0.30	0.01172
0.35	0.01366
0.40	0.0156
0.45	0.01756
0.50	0.01952
0.55	0.02146
0.60	0.02342
0.65	0.02536
0.70	0.02732
0.75	0.02932
0.80	0.03216
0.85	0.03498
0.90	0.038
0.95	0.04576
1.00	0.05354
1.05	0.0582
1.10	0.06236
1.15	0.06656
1.20	0.0707
1.25	0.07486
1.30	0.079
1.35	0.08352
1.40	0.08832
1.45	0.0922
1.50	0.09434
1.55	0.0965
1.60	0.09868
1.65	0.10108
1.70	0.10352
1.75	0.10604
1.80	0.10858
1.85	0.1111
1.90	0.1126
1.95	0.11366
2.00	0.11474
2.05	0.11612
2.10	0.11782
2.15	0.11936
2.20	0.12058
2.25	0.1218
2.30	0.12372
2.35	0.1272
2.40	0.12994
2.45	0.131
2.50	0.13204
2.55	0.13342
2.60	0.13566
2.65	0.13792
2.70	0.14036
2.75	0.14326
2.80	0.14582
2.85	0.14756
2.90	0.14932
2.95	0.15106
3.00	0.1528
3.05	0.15434
3.10	0.15532
3.15	0.1563
3.20	0.1572
3.25	0.15778
3.30	0.15836
3.35	0.15902
3.40	0.15992
3.45	0.16084
3.50	0.16182
3.55	0.1628
3.60	0.16378
3.65	0.1641
3.70	0.16438
3.75	0.16466
3.80	0.16588
3.85	0.16726
3.90	0.16784
3.95	0.16822
4.00	0.16858
4.05	0.16858
4.10	0.16842
4.15	0.16826
4.20	0.16788
4.25	0.16734
4.30	0.1668
4.35	0.16666
4.40	0.167
4.45	0.16698
4.50	0.16644
4.55	0.16588
4.60	0.1657
4.65	0.16624
4.70	0.16678
4.75	0.16728
4.80	0.1677
4.85	0.16852
4.90	0.17006
4.95	0.17164
5.00	0.17294
5.05	0.17376
5.10	0.17462
5.15	0.1761
5.20	0.17858
5.25	0.18042
5.30	0.18116
5.35	0.1819
5.40	0.1828
5.45	0.184
5.50	0.18522
5.55	0.1863
5.60	0.18708
5.65	0.18784
5.70	0.18864
5.75	0.18942
5.80	0.1902
5.85	0.191
5.90	0.1918
5.95	0.1927
6.00	0.19446
6.05	0.19622
6.10	0.19766
6.15	0.1991
6.20	0.20056
6.25	0.2017
6.30	0.20286
6.35	0.204
6.40	0.20638
6.45	0.20882
6.50	0.21008
6.55	0.21124
6.60	0.21238
6.65	0.21348
6.70	0.21456
6.75	0.21566
6.80	0.21802
6.85	0.22046
6.90	0.22212
6.95	0.22374
7.00	0.22538
7.05	0.22696
7.10	0.22854
7.15	0.23012
7.20	0.23264
7.25	0.23516
7.30	0.2373
7.35	0.23936
7.40	0.24142
7.45	0.24332
7.50	0.24522
7.55	0.2473
7.60	0.25026
7.65	0.25314
7.70	0.25498
7.75	0.25682
7.80	0.25868
7.85	0.26076
7.90	0.26282
7.95	0.26502
8.00	0.26762
8.05	0.27024
8.10	0.2729
8.15	0.27584
8.20	0.27872
8.25	0.2809
8.30	0.2831
8.35	0.2853
8.40	0.28756
8.45	0.28982
8.50	0.29208
8.55	0.29584
8.60	0.29964
8.65	0.30174
8.70	0.30368
8.75	0.30564
8.80	0.30834
8.85	0.31104
8.90	0.31394
8.95	0.3179
9.00	0.32154
9.05	0.32412
9.10	0.3267
9.15	0.3292
9.20	0.3316
9.25	0.334
9.30	0.33748
9.35	0.34162
9.40	0.3447
9.45	0.34716
9.50	0.34964
9.55	0.35226
9.60	0.35498
9.65	0.35772
9.70	0.36156
9.75	0.366
9.80	0.36956
9.85	0.37264
9.90	0.37572
9.95	0.37864
10.00	0.3815
10.05	0.38436
10.10	0.3874
10.15	0.39046
10.20	0.39354
10.25	0.39872
10.30	0.4036
10.35	0.40658
10.40	0.40956
10.45	0.41258
10.50	0.41586
10.55	0.41916
10.60	0.42314
10.65	0.42852
10.70	0.43284
10.75	0.43604
10.80	0.43924
10.85	0.44268
10.90	0.44638
10.95	0.45008
11.00	0.45498
11.05	0.46026
11.10	0.4638
11.15	0.46716
11.20	0.4705
11.25	0.47354
11.30	0.47658
11.35	0.48018
11.40	0.48446
11.45	0.48782
11.50	0.49044
11.55	0.49308
11.60	0.496
11.65	0.49904
11.70	0.5022
11.75	0.50584
11.80	0.50926
11.85	0.51192
11.90	0.51462
11.95	0.51734
12.00	0.52016
12.05	0.52296
12.10	0.52654
12.15	0.5304
12.20	0.53302
12.25	0.53512
12.30	0.53726
12.35	0.53954
12.40	0.54192
12.45	0.54428
12.50	0.54798
12.55	0.5517
12.60	0.55388
12.65	0.55604
12.70	0.55814
12.75	0.55972
12.80	0.56128
12.85	0.56348
12.90	0.56662
12.95	0.5688
13.00	0.57002
13.05	0.57126
13.10	0.57236
13.15	0.5734
13.20	0.57444
13.25	0.57506
13.30	0.57558
13.35	0.57542
13.40	0.57528
13.45	0.5746
13.50	0.57294
13.55	0.5713
13.60	0.5697
13.65	0.56816
13.70	0.56658
13.75	0.56354
13.80	0.5604
13.85	0.55778
13.90	0.55516
13.95	0.55314
14.00	0.5517
14.05	0.55024
14.10	0.54988
14.15	0.55016
14.20	0.5508
14.25	0.55154
14.30	0.55234
14.35	0.55336
14.40	0.55436
14.45	0.55514
14.50	0.55536
14.55	0.55442
14.60	0.55216
14.65	0.54992
14.70	0.54502
14.75	0.53956
14.80	0.53412
14.85	0.52024
14.90	0.5059
14.95	0.4927
15.00	0.47948
15.05	0.46576
15.10	0.45168
15.15	0.43762
15.20	0.4153
15.25	0.39128
15.30	0.3755
15.35	0.35974
15.40	0.3452
15.45	0.33188
15.50	0.31856
15.55	0.29992
15.60	0.2793
15.65	0.26932
15.70	0.25952
15.75	0.25104
15.80	0.24404
15.85	0.23702
15.90	0.22942
15.95	0.22138
16.00	0.21576
16.05	0.2108
16.10	0.2063
16.15	0.2033
16.20	0.2003
16.25	0.19658
16.30	0.19168
16.35	0.1868
16.40	0.18158
16.45	0.17628
16.50	0.17216
16.55	0.16806
16.60	0.16446
16.65	0.16316
16.70	0.16184
16.75	0.16004
16.80	0.15788
16.85	0.15784
16.90	0.158
16.95	0.15852
17.00	0.16024
17.05	0.16198
17.10	0.16188
17.15	0.16132
17.20	0.16218
17.25	0.16302
17.30	0.16464
17.35	0.16732
17.40	0.17002
17.45	0.17538
17.50	0.17978
17.55	0.1816
17.60	0.18344
17.65	0.18704
17.70	0.19148
17.75	0.1944
17.80	0.19252
17.85	0.19344
17.90	0.19658
17.95	0.19972
18.00	0.1973
18.05	0.19436
18.10	0.19144
18.15	0.1886
18.20	0.18372
18.25	0.1782
18.30	0.17288
18.35	0.16914
18.40	0.16538
18.45	0.15462
18.50	0.1403
18.55	0.13546
18.60	0.13076
18.65	0.12584
18.70	0.12054
18.75	0.11524
18.80	0.11596
18.85	0.11706
18.90	0.1169
18.95	0.11672
19.00	0.11732
19.05	0.1183
19.10	0.11766
19.15	0.11198
19.20	0.10632
19.25	0.10002
19.30	0.09372
19.35	0.09158
19.40	0.08944
19.45	0.08678
19.50	0.08374
19.55	0.08068
19.60	0.07398
19.65	0.07034
19.70	0.0745
19.75	0.07866
19.80	0.0807
19.85	0.08146
19.90	0.08222
19.95	0.07948
20.00	0.07654
20.05	0.07356
20.10	0.07058
20.15	0.06994
20.20	0.0727
20.25	0.07546
20.30	0.07366
20.35	0.07018
20.40	0.06982
20.45	0.0698
20.50	0.06964
20.55	0.06926
20.60	0.06888
20.65	0.07
20.70	0.07186
20.75	0.06994
20.80	0.0674
20.85	0.06554
20.90	0.06514
20.95	0.06472
21.00	0.064
21.05	0.06316
21.10	0.062
21.15	0.06084
21.20	0.06156
21.25	0.06306
